"LINIENNR_EFA";"VERKEHRSMITTEL";"BRANCH_NR"
"16";"Tram";"22"
"17";"Tram";"22"
"18";"Tram";"22"
"19";"Tram";"22"
"20";"Tram";"22"
"21";"Tram";"22"
"23";"Tram";"22"
"25";"Tram";"22"
"27";"Tram";"22"
"28";"Tram";"22"
"U1";"U-Bahn";"21"
"U2";"U-Bahn";"21"
"U3";"U-Bahn";"21"
"U4";"U-Bahn";"21"
"U5";"U-Bahn";"21"
"U6";"U-Bahn";"21"
"U7";"U-Bahn";"21"
"U8";"U-Bahn";"21"
